item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
200800332,동구레보플록사신수화물정250mg,동구레보플록사신수화물정250mg,레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200800333,동구레보플록사신수화물정500mg,동구레보플록사신수화물정500mg,레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200200715,동성레보플록사신정(레보플록사신수화물),동성레보플록사신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200101393,라이록사신정(레보플록사신수화물),라이록사신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201210744,레나신정(레보플록사신수화물),레나신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201309123,레노보정(레보플록사신수화물),레노보정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199801298,레록신정(레보플록사신수화물),레록신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201903825,레보건정100밀리그램(레보플록사신수화물),레보건정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201906844,레보건정250밀리그램(레보플록사신수화물),레보건정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201801057,레보건정500밀리그램(레보플록사신수화물),레보건정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
