rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
125,아세트아미노펜,34,해열진통/소염,no,0,,yes,no,source_check_candidate
126,클래리트로마이신제피과립,34,항생/항균,no,0,,yes,no,source_check_candidate
127,암로디핀베실산염,34,고혈압/심혈관,no,0,,yes,no,source_check_candidate
128,텔미사르탄파우더(23.9%)/암로디핀베실산염,34,고혈압/심혈관,no,0,,yes,no,source_check_candidate
129,알벤다졸,34,기타,no,0,,no,no,source_check_candidate
130,오플록사신,33,기타,yes,33,오플록사신,yes,no,covered
131,세푸록심악세틸,33,기타,no,0,,no,no,source_check_candidate
132,피록시캄,33,기타,no,0,,no,no,source_check_candidate
133,페북소스타트,33,기타,no,0,,yes,no,source_check_candidate
134,아세브로필린,33,기타,no,0,,no,no,source_check_candidate
135,라모세트론염산염,33,기타,no,0,,no,no,source_check_candidate
136,토파시티닙시트르산염,33,기타,no,0,,no,no,source_check_candidate
137,둘록세틴염산염장용과립,31,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
138,리세드론산나트륨2.5수화물,31,골다공증,yes,31,리세드론산,yes,no,covered
139,타크로리무스수화물,31,기타,no,0,,no,no,source_check_candidate
140,로피니롤염산염,31,기타,no,0,,no,no,source_check_candidate
141,올메사르탄메독소밀,30,고혈압/심혈관,no,0,,yes,no,source_check_candidate
142,탈니플루메이트,30,해열진통/소염,no,0,,no,no,source_check_candidate
143,미르타자핀,30,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
144,프로피베린염산염,30,기타,no,0,,no,no,source_check_candidate
145,토브라마이신,30,기타,no,0,,no,no,source_check_candidate
146,브로멜라인,30,기타,no,0,,no,no,source_check_candidate
147,클로르족사존/에텐자미드/카페인수화물,29,기타,no,0,,no,no,source_check_candidate
148,사이클로스포린,29,기타,no,0,,no,no,source_check_candidate
149,클로르헥시딘글루콘산염 액,29,기타,no,0,,no,no,source_check_candidate
150,펜타닐시트르산염,29,기타,no,0,,no,no,source_check_candidate
151,에독사반토실산염수화물,29,항혈전(민감),no,0,,no,yes,source_check_hold(sensitive)
152,아리피프라졸,28,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
153,침강탄산칼슘/인산수소칼슘수화물/아미노카프로산/알란토인클로로히드록시알루미늄,28,기타,no,0,,yes,no,source_check_candidate
154,도네페질염산염일수화물,27,신경/뇌,no,0,,yes,no,source_check_candidate
155,아세트아미노펜/슈도에페드린염산염/클로르페니라민말레산염,26,해열진통/소염,no,0,,yes,no,source_check_candidate
156,알프라졸람,26,정신건강(민감),no,0,,yes,yes,source_check_hold(sensitive)
157,세픽심수화물,26,항생/항균,no,0,,no,no,source_check_candidate
158,테네리글립틴염산염수화물,26,당뇨,no,0,,no,no,source_check_candidate
159,케토티펜푸마르산염,26,기타,no,0,,no,no,source_check_candidate
160,부스피론염산염,26,기타,no,0,,no,no,source_check_candidate
161,디쿠아포솔나트륨,26,기타,no,0,,no,no,source_check_candidate
162,나프록센나트륨,25,해열진통/소염,no,0,,yes,no,source_check_candidate
163,아토르바스타틴칼슘삼수화물/에제티미브,25,고지혈증,no,0,,yes,no,source_check_candidate
