candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
글루파정250mg(메트포르민염산염),메트포르민,200401527,글루파정250mg(메트포르민염산염),메트포르민염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200401527,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
알피시프록정250mg(시프로플록사신염산염수화물),시프로플록사신,201907281,알피시프록정250mg(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201907281,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
에프로신정(시프로플록사신염산염수화물),시프로플록사신,199703531,에프로신정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199703531,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
일양바이오염산시프로플록사신정,시프로플록사신,200503799,일양바이오염산시프로플록사신정,시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200503799,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
참염산시프로플록사신정,시프로플록사신,199202944,참염산시프로플록사신정,시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199202944,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
케이사신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신,199100923,케이사신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199100923,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
큐프론정(시프로플록사신염산염수화물),시프로플록사신,199400029,큐프론정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199400029,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
키포신정(시프로플록사신염산염수화물),시프로플록사신,199200423,키포신정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199200423,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
파마시프로플록사신정250mg(시프로플록사신염산염수화물),시프로플록사신,199401094,파마시프로플록사신정250mg(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199401094,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
팜젠시프로플록사신정250mg(시프로플록사신염산염),시프로플록사신,201801715,팜젠시프로플록사신정250mg(시프로플록사신염산염),시프로플록사신염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201801715,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
푸로포신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신,199102393,푸로포신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199102393,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
프로딘정250mg(시프로플록사신염산염수화물),시프로플록사신,199202222,프로딘정250mg(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199202222,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
프록사신바이정(시프로플록사신염산염수화물),시프로플록사신,201402714,프록사신바이정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201402714,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
프록스코정(시프로플록사신염산염),시프로플록사신,199701894,프록스코정(시프로플록사신염산염),시프로플록사신염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199701894,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오메푸졸캡슐(오메프라졸),오메프라졸,201602713,오메푸졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201602713,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
