candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,reason,reviewer_required,incorporated,incorporated_at,incorporated_alias_batch
대웅레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신,201309425,대웅레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201309425,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
구루메포민정500mg(메트포르민염산염),메트포르민,199502215,구루메포민정500mg(메트포르민염산염),메트포르민염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199502215,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
모벨록신정400밀리그램(목시플록사신염산염),목시플록사신,201310000,모벨록신정400밀리그램(목시플록사신염산염),목시플록사신염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201310000,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
미노클캡슐50밀리그램(미노사이클린염산염),미노사이클린,202203142,미노클캡슐50밀리그램(미노사이클린염산염),미노사이클린염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202203142,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
뉴록사신정(시프로플록사신염산염수화물),시프로플록사신,200403053,뉴록사신정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200403053,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
로프신정250mg(시프로플록사신염산염수화물),시프로플록사신,199400540,로프신정250mg(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199400540,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
보나드론정70밀리그램(알렌드론산나트륨수화물),알렌드론산,200500488,보나드론정70밀리그램(알렌드론산나트륨수화물),알렌드론산나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200500488,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
넬슨오플록사신정100밀리그램(오플록사신),오플록사신,199602013,넬슨오플록사신정100밀리그램(오플록사신),오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199602013,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
다비드정100밀리그램(오플록사신),오플록사신,199301429,다비드정100밀리그램(오플록사신),오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199301429,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
동광오플록사신정,오플록사신,199400179,동광오플록사신정,오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199400179,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
동화오플록사신정,오플록사신,198900665,동화오플록사신정,오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=198900665,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
세토람정10밀리그람(토라세미드),토라세미드,200500439,세토람정10밀리그람(토라세미드),토라세미드,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200500439,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
세토람정2.5밀리그램(토라세미드),토라세미드,200604198,세토람정2.5밀리그램(토라세미드),토라세미드,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200604198,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
토렘정10밀리그람(토라세미드),토라세미드,200611521,토렘정10밀리그람(토라세미드),토라세미드,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200611521,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
토렘정2.5밀리그람(토라세미드),토라세미드,200611523,토렘정2.5밀리그람(토라세미드),토라세미드,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200611523,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
후릭스정(푸로세미드),푸로세미드,197200160,후릭스정(푸로세미드),푸로세미드,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=197200160,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-002,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,true,2026-06-11,v0.5-batch1
