candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
글레아정2/500밀리그램,메트포르민,201107273,글레아정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107273,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민서방정100/1000밀리그램,메트포르민,202300608,글로시타포민서방정100/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300608,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민서방정50/1000밀리그램,메트포르민,202300607,글로시타포민서방정50/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300607,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민서방정50/500밀리그램,메트포르민,202300606,글로시타포민서방정50/500밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300606,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민정50/1000밀리그램,메트포르민,202300845,글로시타포민정50/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300845,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민정50/500밀리그램,메트포르민,202300847,글로시타포민정50/500밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300847,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로시타포민정50/850밀리그램,메트포르민,202300846,글로시타포민정50/850밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202300846,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글로엠정,메트포르민,201206668,글로엠정,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201206668,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글로틴듀오정2.5/1000mg(리나글립틴, 메트포르민염산염)",메트포르민,202001276,"글로틴듀오정2.5/1000mg(리나글립틴, 메트포르민염산염)",리나글립틴 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202001276,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글로틴듀오정2.5/500mg(리나글립틴, 메트포르민염산염)",메트포르민,202001274,"글로틴듀오정2.5/500mg(리나글립틴, 메트포르민염산염)",리나글립틴 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202001274,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
